"SR_NO","TYPE","REGION","PROVINCE","MUNICIPALITY","TOTALLY DAMAGED","PARTIALLY DAMAGED","OVERALL TOTAL"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","TUNGA","1247","139","1386"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","VILLABA","4840","3419","8259"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","BAYBAY CITY","6215","15666","21881"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","ORMOC CITY","11041","29640","40681"
"SITREP NO. 40","TYPHOON","VIII","LEYTE *","TACLOBAN CITY","12270","46553","58823"
"SITREP NO. 40","TYPHOON","VIII","BILIRAN *","ALMERIA","422","1186","1608"
"SITREP NO. 40","TYPHOON","VIII","BILIRAN *","BILIRAN","1261","2226","3487"
"SITREP NO. 40","TYPHOON","VIII","BILIRAN *","CABUCGAYAN","1177","2898","4075"
"SITREP NO. 40","TYPHOON","VIII","BILIRAN *","CAIBIRAN","392","1039","1431"
"SITREP NO. 40","TYPHOON","VIII","BILIRAN *","CULABA","107","795","902"
"SITREP NO. 40","TYPHOON","VIII","BILIRAN *","KAWAYAN","215","3839","4054"
"SITREP NO. 40","TYPHOON","VIII","BILIRAN *","MARIPIPI","62","706","768"
